story_id,evaluator_code,condition,ai_used_actual,ai_guess_percent,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future
79ce5a91-c618-458f-8cce-9e32e1689cb1,ef0qyppy,human,0.0,48.0,4.0,4.0,3.0,6.0,6.0,6.0,7.0,5.0,4.0,1.0,4.0,3.0
eed9ba9d-ab2b-4aab-96bc-782243ff1f06,hd3bqzfr,human_1AI,1.0,65.0,8.0,9.0,7.0,6.0,8.0,7.0,6.0,7.0,1.0,4.0,6.0,5.0
4c7846f7-f65a-482c-8d57-70c1b2a4a7a0,ci9ihuay,human,0.0,20.0,5.0,6.0,4.0,7.0,5.0,4.0,7.0,6.0,3.0,1.0,1.0,3.0
618dc56e-43c8-43b5-9474-219ab21edbfd,vu1xk858,human_1AI,0.0,57.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0
29eba647-475a-48f0-8244-2eee57fbcc0c,xpffc1oc,human_1AI,0.0,75.0,3.0,2.0,2.0,4.0,7.0,6.0,5.0,6.0,4.0,1.0,1.0,1.0
3055442e-4c98-484d-a092-9838823ac08f,9ps4ra03,human,0.0,35.0,2.0,2.0,2.0,7.0,7.0,5.0,3.0,5.0,8.0,1.0,1.0,1.0
7542a792-567b-4b17-be59-ea2a797b9ce0,amkhybhm,human_5AI,1.0,25.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,6.0,3.0,2.0,2.0
4e07145a-a82a-43f3-a848-39819e97dd62,zhvkumrz,human_1AI,1.0,9.0,5.0,6.0,7.0,8.0,4.0,4.0,6.0,7.0,2.0,1.0,3.0,1.0
b94fdf1d-bcd3-4526-831f-7f0fc56b86b7,7b54q8k9,human_5AI,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,7.0,9.0,7.0
0958da06-33d6-4f3b-851b-fa9fddffde82,1l7d1yuw,human_5AI,1.0,99.0,5.0,5.0,2.0,6.0,5.0,4.0,7.0,3.0,3.0,5.0,6.0,4.0
fc178c9a-f8b7-4c81-85f6-1e12b56d60bc,7rqndgt8,human,0.0,74.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
92aeebce-c4f4-4c12-bcfe-787e838884ea,xqijd49s,human_1AI,0.0,49.0,2.0,2.0,2.0,8.0,7.0,9.0,7.0,7.0,2.0,1.0,1.0,5.0
02bb7805-ba49-420a-be49-5f52f1d4b79e,ujcp48xz,human_1AI,1.0,61.0,6.0,6.0,7.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,4.0,5.0
18693e2d-f85c-47f7-be15-b056183f0b66,r369t035,human_1AI,0.0,52.0,4.0,4.0,4.0,7.0,6.0,7.0,6.0,5.0,4.0,6.0,6.0,4.0
99ef06e6-7930-4121-918d-b64c0dc4e885,2cdo0y1w,human_1AI,1.0,87.0,2.0,4.0,9.0,4.0,4.0,2.0,4.0,8.0,4.0,3.0,9.0,7.0
0a8643ac-6490-4c68-8b49-f059f3dea152,npwfhvwf,human,0.0,50.0,4.0,4.0,3.0,6.0,9.0,9.0,3.0,4.0,5.0,3.0,1.0,2.0
