story_id,ai_used_actual,evaluator_code,post_authors_ideas,post_ownership,post_profit,post_ai_assist
8f962717-825a-44d1-8c70-11e538b2e210,1,qfb6jcwe,3.0,3.0,45,50
0e602d99-dd89-49db-b7b1-f9c8b7278ab4,1,lgxb6b2i,7.0,9.0,100,25
4b522f13-32a9-4c49-a11e-68d169ca7654,1,jpcm9d4w,2.0,2.0,5,79
ad294208-cc7b-4aa5-91f5-bba5d419f065,1,pk1taj6y,3.0,5.0,40,40
618dc56e-43c8-43b5-9474-219ab21edbfd,0,m2inoi5x,9.0,8.0,98,100
7ced0bf8-d2f9-4827-8b0b-d09f5bf47585,0,zllelqjh,7.0,9.0,0,75
e29b0a28-2897-450e-b920-fcd41084a12a,1,a59rs0qy,4.0,3.0,51,71
749b1a34-8e70-43fa-bb8b-6fdf0d36ff0e,0,w5shd0jr,9.0,9.0,0,6
49dc8a44-7527-4bf3-b79a-52a6f1f9f416,1,as98853u,4.0,6.0,60,12
8a44f295-4adc-4adc-b7bb-dbffb9d5f90c,1,rj6wevo0,1.0,1.0,0,100
c3df61ef-db61-4d63-8033-442f78804201,0,z601e6ue,9.0,9.0,0,9
9e5e5e56-151a-44cd-8376-f81c66f78b38,0,7gh4tmxd,6.0,6.0,0,49
fcda37fd-3057-4430-96bc-0475cf3b1c8f,0,6pqui26u,6.0,2.0,0,76
288082eb-5ab6-456c-a2c8-5a548d12a42e,1,r88s2ywx,4.0,6.0,95,74
fb4a7a93-0dcb-462d-9b64-92428dc44a45,0,ea6x3u60,9.0,9.0,0,0
18693e2d-f85c-47f7-be15-b056183f0b66,0,yz41hr54,4.0,3.0,100,2
34ad3261-a5e5-41b9-8eb7-675c9a2e79ec,1,4irlisth,6.0,7.0,11,0
09ed07b3-c272-4911-94c2-acf51d8ab921,0,jzuhuvhq,7.0,8.0,0,77
e3dcb12c-cae9-4129-ac5b-9e0f7f7756a9,0,ifzlxhza,7.0,7.0,0,24
12734b48-37d5-4495-97ab-3cdda6b4b0bc,0,42q7fku0,4.0,7.0,100,70
749b1a34-8e70-43fa-bb8b-6fdf0d36ff0e,0,o5kyrio3,4.0,4.0,0,60
